model_id,task,case_id,backend,setup_id,run_id,source_run_id,variant,execution_role,technical_status,task_quality_tier,task_quality_status,task_quality_decision,task_quality_gate_reason,contract_gate_reason,eligibility_gate_reason,task_quality_metric,task_quality_candidate,task_quality_reference,task_quality_delta,task_quality_ci_low,task_quality_ci_high,task_quality_margin,task_quality_bootstrap_repetitions_requested,task_quality_bootstrap_repetitions,task_quality_bootstrap_engine,task_quality_bootstrap_skipped_reason,task_quality_bootstrap_elapsed_s,task_quality_ap50_candidate,task_quality_ap50_reference,task_quality_ap50_delta,task_quality_ap50_ci_low,task_quality_ap50_ci_high,task_quality_ap50_margin,task_quality_ap50_decision,task_quality_ap75_candidate,task_quality_ap75_reference,task_quality_ap75_delta,task_quality_ap75_ci_low,task_quality_ap75_ci_high,task_quality_ap75_margin,task_quality_ap75_decision,task_quality_bootstrap_candidate_event_count,task_quality_bootstrap_reference_event_count,validation_requested_count,validation_evaluated_count,validation_cardinality_status,validation_cardinality_pass,contract_consistent,ranking_eligible,exclusion_reason,quality_result_id,source_task_quality_decision,algorithm_version,quality_result_contract_version,metric_gate_config,configured_guardrails,missing_guardrails,guardrail_contract_complete,reference_predictions_sha256,candidate_predictions_sha256,annotations_sha256,source_request_sha256,producer_identity_sha256
resnet50,classification,b054,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.766,0.812,-0.046,-0.046,-0.046,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.16376068501267582,,,,,,,,,,,,,,,,,,500,,,,,,e78446fe7f162185c962b30db4ed9513f603df913bb8f6c4fc9924fa4ea4e58f,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,14f644064644aee815bad40724db2641b9ba4d32cdaed3431b536f20798edecb,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,c42d09ea31a02af6cde2abd7f433662b794d7b5ee46393eb59ca425af8dcd605,
resnet50,classification,b056,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.15038098802324384,,,,,,,,,,,,,,,,,,500,,,,,,e9823d714b8157b657fc52de3ced4e7362e51b8ca6d937a2064f1ea97bf9330a,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,7f512b61d6c2ac27bf962e40551c29ba3dd8ea20cdae405ffbcdb1fc14697c5c,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,239e41b8b26e3971467efc462eab97a5755268e5b5be7c537be8745f278388e5,
resnet50,classification,b068,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.2301688640145585,,,,,,,,,,,,,,,,,,500,,,,,,36877e06e6fc1d2a656190673ab0f7a74422e5cd9211fbb6267f1ab555b5a992,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,0bad50657cb513ca42fe1c1a58dba876e3c3b8776a82a45b83cf4baa1ed9269d,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,1a6263e8eca7414ce49044c4ca8cb3ac2b7ea13f6b7fe071f894369055182c4d,
resnet50,classification,b074,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.12073834892362356,,,,,,,,,,,,,,,,,,500,,,,,,e1958c71f05a45012c0395f6567929d6066147dc35b4c075a6530ed11cb0782b,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,8152359dd49d8b876e229269ef3ba729e1247302bf26df27c7056ae9cb2a0be9,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,8a6e61a26b3e5ff8db8082bceee90ae32aa0fb6f4d4240c9ac0aefe60cde7271,
resnet50,classification,b078,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.019244647002778947,,,,,,,,,,,,,,,,,,500,,,,,,962bcb5f0af265966ddb7f8a4ca511900605b138793d61538ccf475be25ed119,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,8152359dd49d8b876e229269ef3ba729e1247302bf26df27c7056ae9cb2a0be9,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,f7f50f7adaa739b7b265f80d3027d896d42c07eade282e4568c808bda7dd4e7c,
resnet50,classification,b091,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.766,0.812,-0.046,-0.046,-0.046,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.0807776270667091,,,,,,,,,,,,,,,,,,500,,,,,,808a40dc11bd15ce2bb23b4a85ef61b76103cab521d3bfe9f647b06ee92c4d62,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,56ca1580db338d31edd6442c92822538e910f92f4340ea63a9f9754f712c9e79,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,4050f8edd65524829ef2d233915ab5a2f348fbd11291dfe8fb5ae38ca722cc74,
resnet50,classification,b095,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.18013287300709635,,,,,,,,,,,,,,,,,,500,,,,,,e5ea6c19874168e2cc4679152c4c84dd612753502d30aa714aaa3ce0fc3cbe34,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,8c784a63b82e838790c25147b7e361778b164efd13d39b06c90baa8490be4233,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,c0138484cfe9d784a4b9756d74949165dafc3a227b8ce4acf352d7228739fb31,
resnet50,classification,b107,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.07431901595555246,,,,,,,,,,,,,,,,,,500,,,,,,0a1132efec914906fe925b899e065eeb18d844c4315abb5596738a1e1e492c7b,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,82119a8279e21875550c7929dcbe02072513adf38d4da24b5bc380e27eb775b0,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,7d99eaf6f24f5bd76caaee3ccc7babb22e93365ed6e015eee5e9b5a6172ad41f,
resnet50,classification,b112,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.76,0.812,-0.052,-0.052,-0.052,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.02986861893441528,,,,,,,,,,,,,,,,,,500,,,,,,f57860fcb73f7604430ec5a0a5f82e8f52172570464efe02a22c67b4572531a7,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,84c1673538930334a0802d5fb9889817b0b6c208f4e7ba6add3baafe2edb5b6b,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,b8724e3318cf7bb5f8e55052cd1b2382d470ee8d7cbd8df55d6d807483abd694,
resnet50,classification,b118,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.762,0.812,-0.05,-0.05,-0.05,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.07731987908482552,,,,,,,,,,,,,,,,,,500,,,,,,35b26b7296d19417414ce6e0a7da329f856317751467c60c919a68a764661712,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,69c2a4bd76b40b23fa376255459d8e2b3485888f8b713d8ecec121e7237c7eeb,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,e4082f82dbf57b48f3cd3f62c16483be5edcfa61b7084e11d7161f97146c29be,
