detail,evidence,id,severity,status
Model resnet50 uses the final validation tier in a final campaign.,,model_validation_tier_final_resnet50,required_for_final,deferred
Model resnet50 resolves to an exact local model artefact with a content hash.,"{""declared_model_sha256"":"""",""exists"":true,""model_path"":""/home/kmika/Models/resnet50.onnx"",""model_sha256"":""sha256:cebd9d5879ddd304a18f51e559ab74fba5cbd1f610b9359321bc5228acbe4f50""}",model_identity_resnet50,required_for_final,pass
Model resnet50 explicitly declares its candidate-universe mode.,"{""mode"":""deterministic_audit""}",candidate_universe_resnet50,required_for_final,pass
Model yolo26s explicitly declares evaluation_role=development or confirmatory_holdout.,,model_role_explicit_yolo26s,required_for_final,pass
Model-family transfer is outside the evaluated_matrix claim for yolo26s.,,model_family_id_explicit_yolo26s,informational,not_applicable
A generalisation scope is not consumed by the evaluated_matrix claim for yolo26s.,,model_generalization_scope_explicit_yolo26s,informational,not_applicable
Model yolo26s explicitly declares validation_tier.,,model_validation_tier_explicit_yolo26s,required_for_final,pass
Model yolo26s uses the final validation tier in a final campaign.,,model_validation_tier_final_yolo26s,required_for_final,deferred
Model yolo26s resolves to an exact local model artefact with a content hash.,"{""declared_model_sha256"":"""",""exists"":true,""model_path"":""/home/kmika/Models/yolo26s.onnx"",""model_sha256"":""sha256:4b8ff9dce56ca7058c53e1a08feca69a59f8504a8f2ef68c85c065ae837ce04a""}",model_identity_yolo26s,required_for_final,pass
Model yolo26s explicitly declares its candidate-universe mode.,"{""mode"":""deterministic_audit""}",candidate_universe_yolo26s,required_for_final,pass
Model yolov7_paper explicitly declares evaluation_role=development or confirmatory_holdout.,,model_role_explicit_yolov7_paper,required_for_final,pass
Model-family transfer is outside the evaluated_matrix claim for yolov7_paper.,,model_family_id_explicit_yolov7_paper,informational,not_applicable
A generalisation scope is not consumed by the evaluated_matrix claim for yolov7_paper.,,model_generalization_scope_explicit_yolov7_paper,informational,not_applicable
Model yolov7_paper explicitly declares validation_tier.,,model_validation_tier_explicit_yolov7_paper,required_for_final,pass
Model yolov7_paper uses the final validation tier in a final campaign.,,model_validation_tier_final_yolov7_paper,required_for_final,deferred
Model yolov7_paper resolves to an exact local model artefact with a content hash.,"{""declared_model_sha256"":"""",""exists"":true,""model_path"":""/home/kmika/Models/yolov7_paper.onnx"",""model_sha256"":""sha256:7a13e66f91047cce0e251c05f64159646847e842af31d60441c63dcdfad7825d""}",model_identity_yolov7_paper,required_for_final,pass
Model yolov7_paper explicitly declares its candidate-universe mode.,"{""mode"":""deterministic_audit""}",candidate_universe_yolov7_paper,required_for_final,pass
A hold-out registry is outside the evaluated_matrix claim scope.,"{""configured_path"":""""}",holdout_registry,informational,not_applicable
No hold-out registry is consumed for evaluated_matrix claims.,,holdout_registry_integrity,informational,not_applicable
Ranking validation is optional diagnostic output for evaluated_matrix and cannot enlarge the final claim.,"{""ranking_validation_enabled"":true}",ranking_validation_enabled,informational,not_applicable
A fitted ranking bundle is required only for ranking_generalization.,"{""configured_path"":""""}",ranking_model_bundle_integrity,informational,not_applicable
A development-fitted ranking cost model is not a blocker for measured evaluated_matrix results.,,stage_time_model,informational,not_applicable
"Measured Native FIFO performance remains required, but a fitted handover predictor is not needed for evaluated_matrix claims.",,native_handover_model,informational,not_applicable
Native full baselines are enabled and use the same runtime contract whenever Native FIFO claims are enabled.,,native_full_baselines,required_for_final,pass
One effective energy request is configured without conflicting generic/native enablement.,"{""compatibility_notes"":[],""config_identity_sha256"":""sha256:7cf2069e55c9ee4f0375d60cd563dabf0a6b4885fada83b665dac1e8ac16e002"",""configuration_errors"":[],""generic_energy_enabled"":false,""lifecycle"":{""completed"":false,""configured"":false,""failed"":false,""reason"":""not_requested"",""requested"":false,""running"":false,""scheduled"":false,""skipped"":true,""status"":""skipped""},""measurement_path"":""native_only"",""native_energy_enabled"":false,""repeats"":3,""request_source"":""energy.enabled"",""schema"":""onnx-splitpoint/effective-energy-config"",""schema_version"":1,""window_method_ab"":{""auto_switch"":false,""baseline_method"":""chapter4_baseline"",""candidate_eligible_for_auto_import"":false,""candidate_eligible_for_auto_switch"":false,""candidate_method"":""candidate_v263"",""configuration_source"":""legacy_window_method_validation_probe"",""deprecated_input_aliases"":{""baseline_method"":""chapter4_baseline"",""candidate_method"":""candidate_v263""},""enabled"":false,""include_raw_parquet"":true,""legacy_method_aliases_applied"":true,""mode"":""shadow"",""primary_method"":""command_marker_window"",""requires_picoscope"":false,""same_raw_capture"":true,""schema"":""onnx-splitpoint/energy-window-ab-config"",""schema_version"":2,""scientific_method_decision"":""frozen_command_marker_primary_chapter4_shadow"",""scientific_primary_method"":""command_marker_window"",""scientific_shadow_method"":""chapter4_legacy_window"",""shadow_method"":""chapter4_legacy_window"",""shadow_role"":""same_trace_sensitivity_only"",""smoke_repeats"":3,""strict"":true,""valid"":true,""validation_errors"":[]}}",effective_energy_configuration,required_for_final,deferred
"The command-marker window is frozen as the scientific primary. The Chapter-4 legacy window is a same-trace, non-blocking sensitivity shadow; it never auto-switches, cannot invalidate the primary claim and requires no PicoScope rerun.","{""auto_switch"":false,""baseline_method"":""chapter4_baseline"",""candidate_eligible_for_auto_import"":false,""candidate_eligible_for_auto_switch"":false,""candidate_method"":""candidate_v263"",""configuration_source"":""legacy_window_method_validation_probe"",""deprecated_input_aliases"":{""baseline_method"":""chapter4_baseline"",""candidate_method"":""candidate_v263""},""enabled"":false,""include_raw_parquet"":true,""legacy_method_aliases_applied"":true,""mode"":""shadow"",""primary_method"":""command_marker_window"",""requires_picoscope"":false,""same_raw_capture"":true,""schema"":""onnx-splitpoint/energy-window-ab-config"",""schema_version"":2,""scientific_method_decision"":""frozen_command_marker_primary_chapter4_shadow"",""scientific_primary_method"":""command_marker_window"",""scientific_shadow_method"":""chapter4_legacy_window"",""shadow_method"":""chapter4_legacy_window"",""shadow_role"":""same_trace_sensitivity_only"",""smoke_repeats"":3,""strict"":true,""valid"":true,""validation_errors"":[]}",energy_window_method_ab,required_for_final,deferred
Final energy campaign uses raw full-system input energy as the primary metric.,,full_system_power_scope,required_for_final,deferred
Final full-system energy is bound to the command window.,"{""window"":null}",energy_command_window,required_for_final,deferred
Full-system energy uses at least three independent repetitions.,"{""repeats"":0}",energy_repetitions,required_for_final,deferred
Repeated energy windows use a pre-declared confidence level of at least 95%.,"{""confidence_level"":0.0}",energy_confidence_interval,required_for_final,deferred
Final energy target blocks use a recorded deterministic random order with an explicit integer seed.,"{""randomization_seed"":null,""randomize_run_order"":false}",energy_run_order,required_for_final,deferred
Idle normalization reports raw and normalized values and uses a scope-compatible paired method.,,idle_normalization_policy,required_for_final,pass
Full-system input-channel calibration manifest missing: ,,energy_calibration_manifest,required_for_final,deferred
