endpoint_id,model_id,case_id,setup_id,backend,direction,precision,endpoint_contract_hash,planned,materialized,measurement_payload_present,measured,valid_measurement,terminal,terminal_failure,lifecycle_status,terminal_reason,terminal_reason_scope,measurement_evidence_status,technical_measurement_valid,eligible_for_technical_observation,runner_returncode,causal_backend,causal_hw_arch,builder_backend,plan_evidence,materialization_evidence_count,measurement_evidence_count,valid_measurement_evidence_count,terminal_evidence_count
generic:resnet50:ort_tensorrt:b052,resnet50,b052,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""deployment_shortlist""],""candidate_origin"":""deployment_shortlist"",""case_id"":""b052"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b052"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:full,resnet50,full,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""case_id"":""full"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:full"",""endpoint_scope"":""generic_full_baseline"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",0,1,1,0
generic:resnet50:hailo8:full,resnet50,full,,hailo8,hailo8,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8"",""case_id"":""full"",""direction"":""hailo8"",""endpoint_id"":""generic:resnet50:hailo8:full"",""endpoint_scope"":""generic_full_baseline"",""model_id"":""resnet50"",""run_profile_id"":""hailo8""}",0,1,1,0
generic:resnet50:hailo8_to_trt:b119,resnet50,b119,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b119"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b119"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b008,resnet50,b008,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b008"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b008"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b056,resnet50,b056,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b056"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b056"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b118,resnet50,b118,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b118"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b118"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b001,resnet50,b001,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b001"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b001"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b003,resnet50,b003,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b003"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b003"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b009,resnet50,b009,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b009"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b009"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b022,resnet50,b022,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b022"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b022"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b027,resnet50,b027,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b027"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b027"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b042,resnet50,b042,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b042"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b042"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b050,resnet50,b050,,hailo8_to_trt,hailo8_to_trt,,,True,False,False,False,False,True,True,terminal_without_measurement,legacy_case_rejected:hailo_hef_build_failed,case_generation,payload_missing,False,False,3,hailo8,hailo8,venv,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b050"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b050"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",0,0,0,1
generic:resnet50:hailo8_to_trt:b054,resnet50,b054,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b054"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b054"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b068,resnet50,b068,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b068"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b068"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b074,resnet50,b074,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b074"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b074"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b078,resnet50,b078,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b078"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b078"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b091,resnet50,b091,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b091"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b091"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b095,resnet50,b095,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b095"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b095"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b107,resnet50,b107,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b107"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b107"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b112,resnet50,b112,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b112"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b112"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b020,resnet50,b020,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b020"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b020"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo8_to_trt:b052,resnet50,b052,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[""deployment_shortlist""],""candidate_origin"":""deployment_shortlist"",""case_id"":""b052"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:resnet50:hailo8_to_trt:b052"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo8_to_trt""}",1,1,1,0
generic:resnet50:hailo10:full,resnet50,full,,hailo10,hailo10,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10"",""case_id"":""full"",""direction"":""hailo10"",""endpoint_id"":""generic:resnet50:hailo10:full"",""endpoint_scope"":""generic_full_baseline"",""model_id"":""resnet50"",""run_profile_id"":""hailo10""}",0,1,1,0
generic:resnet50:hailo10_to_trt:b119,resnet50,b119,,hailo10_to_trt,hailo10_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b119"",""direction"":""hailo10_to_trt"",""endpoint_id"":""generic:resnet50:hailo10_to_trt:b119"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo10_to_trt""}",1,1,1,0
generic:resnet50:hailo10_to_trt:b008,resnet50,b008,,hailo10_to_trt,hailo10_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b008"",""direction"":""hailo10_to_trt"",""endpoint_id"":""generic:resnet50:hailo10_to_trt:b008"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo10_to_trt""}",1,1,1,0
generic:resnet50:hailo10_to_trt:b056,resnet50,b056,,hailo10_to_trt,hailo10_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b056"",""direction"":""hailo10_to_trt"",""endpoint_id"":""generic:resnet50:hailo10_to_trt:b056"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo10_to_trt""}",1,1,1,0
generic:resnet50:hailo10_to_trt:b118,resnet50,b118,,hailo10_to_trt,hailo10_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b118"",""direction"":""hailo10_to_trt"",""endpoint_id"":""generic:resnet50:hailo10_to_trt:b118"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo10_to_trt""}",1,1,1,0
generic:resnet50:hailo10_to_trt:b001,resnet50,b001,,hailo10_to_trt,hailo10_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b001"",""direction"":""hailo10_to_trt"",""endpoint_id"":""generic:resnet50:hailo10_to_trt:b001"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo10_to_trt""}",1,1,1,0
generic:resnet50:hailo10_to_trt:b003,resnet50,b003,,hailo10_to_trt,hailo10_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b003"",""direction"":""hailo10_to_trt"",""endpoint_id"":""generic:resnet50:hailo10_to_trt:b003"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo10_to_trt""}",1,1,1,0
generic:resnet50:hailo10_to_trt:b009,resnet50,b009,,hailo10_to_trt,hailo10_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo10_to_trt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b009"",""direction"":""hailo10_to_trt"",""endpoint_id"":""generic:resnet50:hailo10_to_trt:b009"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""hailo10_to_trt""}",1,1,1,0
