model_id,case_id,run_id,backend,variant,presence,representation_count,primary_setup_id,mirror_setup_id,primary_source_path,mirror_source_path,primary_row_sha256,mirror_row_sha256,mirror_copy_manifest
mobilenet_v3_large,b008,hailo8_to_trt,hailo8_to_tensorrt,split,present,2,,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo8_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b008/results_hailo8_to_trt/validation_report.json,7aaaf9d726751511e03d52ba2d1752244c89c84fadd5be4c796cabec59977c56,e6e0ec3fef397cea7bc5e2791d44b82f083e1530956a829754a5b73edb0e10f6,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/result_copy_manifest.json
mobilenet_v3_large,b008,ort_tensorrt,tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_ort_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b008/results_ort_tensorrt/validation_report.json,25c3896183d584a0bbffe981b86320573ac012de8fe5030c7c80a73039da4407,e5f306084d6d960015c9400056b61ad21f75713216b97867ee167cd4805a28d8,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b017,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b017/results_deepx_m1_to_tensorrt/validation_report.json,a98dfe93abbcf0815ebcada3ab9f72f6a9fd869befab28172c5d82fcb07fa707,772f6576101ce323633e959a514c51226988256a438aa3ef67a87433475f653c,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b017,hailo10_to_trt,hailo10_to_tensorrt,split,present,2,,orin_nx_hailo10_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo10_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/case_reports/results/b017/results_hailo10_to_trt/validation_report.json,16badfd70c0720099bc9399dc9fbf37bd38ec32d97f13d7690ab7542a644258f,663ff545b255a432d050b8e679d3670bdbfbfb656eb836eafe4e711b437f851f,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/result_copy_manifest.json
mobilenet_v3_large,b017,hailo8_to_trt,hailo8_to_tensorrt,split,present,2,,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo8_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b017/results_hailo8_to_trt/validation_report.json,d185f82cc0867a45ca588a4501ba3c40a7ef72d3c7dd1e7a196f8ef160423f7e,ec9b0194ff855df95b5e671f0e0f1e4ab8ac4d7d9119c6c66a0cc5e1f82e952b,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/result_copy_manifest.json
mobilenet_v3_large,b017,ort_tensorrt,tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_ort_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b017/results_ort_tensorrt/validation_report.json,3ce5538e50fc7c162c04748d8c82c18c8b7bd78e21aeb8a0cf382dc4d5727829,668e961a130eccd7519b38c17f383eee3c36d72ded6eaa81ae296c885fd19246,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b026,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b026/results_deepx_m1_to_tensorrt/validation_report.json,2832b64555d39bad8da160c97d7444f8eae317323cbbaaab4e3d6ddeaf5c2585,76e3d916fb32a99f8a91836a86a30469680064d7e8ee1591d3f30262bed735b2,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b026,hailo10_to_trt,hailo10_to_tensorrt,split,present,2,,orin_nx_hailo10_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo10_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/case_reports/results/b026/results_hailo10_to_trt/validation_report.json,c1b9e4f922289bfa87f7b56c8e69407006b8b43e855a89f6b1766056bf0d7382,3e88a55fda851961a72f45384d6ee94c71df8bff246cfde614000b4ef63e66a7,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/result_copy_manifest.json
mobilenet_v3_large,b026,hailo8_to_trt,hailo8_to_tensorrt,split,present,2,,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo8_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b026/results_hailo8_to_trt/validation_report.json,9fe4c0487cd1a905d6e7a72dd58b9f4dcd67cf168aa721fa754d9d062335cf1a,3fc301034e702be976ff369b20cddb24467d19679f3081af23df541eba6cfd23,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/result_copy_manifest.json
mobilenet_v3_large,b026,ort_tensorrt,tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_ort_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b026/results_ort_tensorrt/validation_report.json,44565050863cff18513abf3cc1626f650f78c6514244528118eb00263c3da920,a29615c2c7a8e1d77a7ca85d978645507f4e4306e6320410cea264e2b6e3a6cc,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b032,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b032/results_deepx_m1_to_tensorrt/validation_report.json,38d66aa8bbcca96daf4e8fb14b4409776d2bae7b875bbf7541cd99f75bfbae54,3aa82b9b5979f222d92548c247fb5a6535491679c36fd1c0374deea18f579e62,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b032,hailo10_to_trt,hailo10_to_tensorrt,split,present,2,,orin_nx_hailo10_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo10_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/case_reports/results/b032/results_hailo10_to_trt/validation_report.json,d2ddb7c58cbcf99e607734d21b1a9cfa6cb75fbbf217370901a7ec7bb2aa9014,d236a37bcac34963d7919335408580b3401d30772253a97c8d6a9d762fc7f116,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/result_copy_manifest.json
mobilenet_v3_large,b032,hailo8_to_trt,hailo8_to_tensorrt,split,present,2,,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo8_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b032/results_hailo8_to_trt/validation_report.json,2dd6cdd580dd03f5013d4656a04dc07756e94ae77d4b19dc9d6e37b3b1b79446,f49deaf55b35c6a79b39725565fdf8f73cc1c47866a6c2b718f34fbd24068e83,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/result_copy_manifest.json
mobilenet_v3_large,b032,ort_tensorrt,tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_ort_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b032/results_ort_tensorrt/validation_report.json,ca2a12b39c7c70dc73013380b4bd63655698e428e8d97ed56c3fcaa272320bf5,c5e6fe9d28bb5e0908ba284c3c80d3e892d2bd06b7134e0ae4d54f34db46fbf0,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b037,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b037/results_deepx_m1_to_tensorrt/validation_report.json,1d20107b5a0ef018fd378c5d4e552a7f5d341d2d78e7408a54b038dcfb247843,700d8a0fafdf4e4d60280bce18b7e97690e9785ef282db88da0f8fe59fa1dbb9,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b037,hailo10_to_trt,hailo10_to_tensorrt,split,present,2,,orin_nx_hailo10_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo10_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/case_reports/results/b037/results_hailo10_to_trt/validation_report.json,e9488c7acf66687c10306af03b2e9c3f83c8f0291b6a1881f381823d45e4dba2,e8e7b054f5bb4b577fbb69218256355b28f0b59705f9f3c6fe8e613878990229,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/result_copy_manifest.json
mobilenet_v3_large,b037,hailo8_to_trt,hailo8_to_tensorrt,split,present,2,,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo8_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b037/results_hailo8_to_trt/validation_report.json,7f62068a37277dec8cb11a56ae7e691c005c839ecccc90b3236376292ad1d248,8f46e6a3eb9d54320f914af7b96d641befcac3c76030856fe6f9620081d3c060,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/result_copy_manifest.json
mobilenet_v3_large,b037,ort_tensorrt,tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_ort_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b037/results_ort_tensorrt/validation_report.json,1c1fc7609481e4b20abed7c03aa973dedc1d7422c691cad91dfc45ba15b86e42,d5d3ba0e1239aae59b6d320b9e856266e5f3afffe97574237107eaa96cf8b030,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b045,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b045/results_deepx_m1_to_tensorrt/validation_report.json,083274978ffc72ac3b5aad317f686448d955df6599e2798d3845422d01b10728,f1a2a8caf1422894776a1aa1b7d3472a6d342133ef60a2e5f0db2829df7492b4,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
