model_id,case_id,run_id,variant,task,execution_role,backend,setup_id,producer_identity_sha256,producer_binding_eligible,technical_status,scientific_status,decision,delta,ci_low,ci_high,decision_basis,gate_bound_value,ci_computed,uncertainty_status,margin,bootstrap_repetitions,cache_hit,error
mobilenet_v3_large,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo8_01,8113152b62213aab7e79866669db694a205b186bd2f73ccd091520410339d2fc,True,completed,pass,pass,-0.0006,-0.0014,0.0002,paired_bootstrap_lower_bound,-0.0014,True,computed_bootstrap,0.01,5000,False,
resnet50,b002,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,0.0022,0.0002,0.0042,paired_bootstrap_lower_bound,0.0002,True,computed_bootstrap,0.01,5000,False,
resnet50,b002,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,20e0ed955d392295d321a3a10c9b428d329838701d9c6075221bc59436dfcba0,True,completed,pass,pass,0.0004,-0.0006,0.0014,paired_bootstrap_lower_bound,-0.0006,True,computed_bootstrap,0.01,5000,False,
resnet50,b002,ort_tensorrt,full,classification,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.0006,-0.0004,0.0016,paired_bootstrap_lower_bound,-0.0004,True,computed_bootstrap,0.01,5000,False,
resnet50,b060,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,0.0024,-0.0004,0.0052,paired_bootstrap_lower_bound,-0.0004,True,computed_bootstrap,0.01,5000,False,
resnet50,b060,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,a543ccc15a5f5c0d5812de4b64808a01bbc55ffa3f0d732f3f66b122e40c5a6b,True,completed,pass,pass,0.0002,-0.0008,0.0012,paired_bootstrap_lower_bound,-0.0008,True,computed_bootstrap,0.01,5000,False,
resnet50,b119,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,0.0006,-0.0026,0.0038,paired_bootstrap_lower_bound,-0.0026,True,computed_bootstrap,0.01,5000,False,
resnet50,b119,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,361e16ad15ae0c323d8dba913a3b56345d02d6ce295d7ee9bb7a5386134557c6,True,completed,pass,pass,0.0008,-0.0004,0.002,paired_bootstrap_lower_bound,-0.0004,True,computed_bootstrap,0.01,5000,False,
resnet50,full,deepx_m1_full,full,classification,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,pass,pass,0.001,-0.0022,0.0042,paired_bootstrap_lower_bound,-0.0022,True,computed_bootstrap,0.01,5000,False,
resnet50,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_deepx_m1_01,8344b9064745a2a017b65c1d9610ac54c0ec2ca46e1d12d41c28beafff00dc23,True,completed,pass,pass,0.0006,-0.0004,0.0016,paired_bootstrap_lower_bound,-0.0004,True,computed_bootstrap,0.01,5000,False,
resnet50,b002,hailo10,full,classification,,,orin_nx_hailo10_01,,False,completed,pass,pass,0.0016,-0.0022,0.0056,paired_bootstrap_lower_bound,-0.0022,True,computed_bootstrap,0.01,5000,False,
resnet50,b002,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,pass,pass,-0.0024,-0.0054,0.0006,paired_bootstrap_lower_bound,-0.0054,True,computed_bootstrap,0.01,5000,False,
resnet50,b060,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,pass,pass,-0.001,-0.0048,0.003,paired_bootstrap_lower_bound,-0.0048,True,computed_bootstrap,0.01,5000,False,
resnet50,b119,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,pass,pass,-0.0024,-0.0064,0.0016,paired_bootstrap_lower_bound,-0.0064,True,computed_bootstrap,0.01,5000,False,
resnet50,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo10_01,2b27ac8967bb2b90488f5eef78b593455b4a3a50f8f7f8d97cf918ef634a8072,True,completed,pass,pass,0.0006,-0.0004,0.0016,paired_bootstrap_lower_bound,-0.0004,True,computed_bootstrap,0.01,5000,False,
resnet50,b002,hailo8,full,classification,,,orin_nx_hailo8_01,,False,completed,pass,pass,-0.0012,-0.0052,0.0026,paired_bootstrap_lower_bound,-0.0052,True,computed_bootstrap,0.01,5000,False,
resnet50,b002,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,pass,pass,-0.003,-0.0062,0.0002,paired_bootstrap_lower_bound,-0.0062,True,computed_bootstrap,0.01,5000,False,
resnet50,b060,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,pass,pass,-0.0026,-0.0064,0.001,paired_bootstrap_lower_bound,-0.0064,True,computed_bootstrap,0.01,5000,False,
resnet50,b119,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,pass,pass,-0.0006,-0.0044,0.0034,paired_bootstrap_lower_bound,-0.0044,True,computed_bootstrap,0.01,5000,False,
resnet50,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo8_01,708125aa714b3db1536e0e0b940c2f5dd3a6b1c92c9f3a41b81e6c5ed80e671f,True,completed,pass,pass,0.0006,-0.0004,0.0016,paired_bootstrap_lower_bound,-0.0004,True,computed_bootstrap,0.01,5000,False,
yolo11l,b062,deepx_to_trt,composed,detection,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,-0.002219555991388178,-0.003141255281337751,-0.00117362801483733,paired_bootstrap_lower_bound,-0.003141255281337751,True,computed_bootstrap,0.01,5000,False,
yolo11l,b062,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,fc67e4f42eb063b46f0e3ef0fc2e9e30a018479a2dbba97bf1ce567d8d3ffab0,True,completed,pass,pass,-0.00016070946133556197,-0.0004435508280835913,0.0002219529595379273,paired_bootstrap_lower_bound,-0.0004435508280835913,True,computed_bootstrap,0.01,5000,False,
yolo11l,b062,ort_tensorrt,full,detection,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,1.1598707803872621e-05,-0.00021993069488111244,0.00034330967992399485,paired_bootstrap_lower_bound,-0.00021993069488111244,True,computed_bootstrap,0.01,5000,False,
yolo11l,b064,deepx_to_trt,composed,detection,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,-0.002452106988426239,-0.0034137570027740895,-0.001448511602380109,paired_bootstrap_lower_bound,-0.0034137570027740895,True,computed_bootstrap,0.01,5000,False,
yolo11l,b064,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,e982ca18693faf5efda79888e288325349913e6dca69a5125ce12a67c844edad,True,completed,pass,pass,-0.00017176663350904064,-0.00044484018736365704,0.0002237063487369878,paired_bootstrap_lower_bound,-0.00044484018736365704,True,computed_bootstrap,0.01,5000,False,
yolo11l,b065,deepx_to_trt,composed,detection,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,-0.002626498875272665,-0.0034608297135224784,-0.001524081439152225,paired_bootstrap_lower_bound,-0.0034608297135224784,True,computed_bootstrap,0.01,5000,False,
yolo11l,b065,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,2a68c6d7c22471b0e896c2e082e593c6533c7d6d90548527070a033f7efe52cd,True,completed,pass,pass,-0.00012500049011543446,-0.00040157475916079686,0.0003215188684084187,paired_bootstrap_lower_bound,-0.00040157475916079686,True,computed_bootstrap,0.01,5000,False,
yolo11l,full,deepx_m1_full,full,detection,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,fail,fail,-0.010310749949813514,,,point_estimate_below_non_inferiority_margin,-0.010310749949813514,False,not_computed_fast_fail,0.01,0,False,
yolo11l,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,32c46e3471f7b66d0e6183d5b263eaf76f441fb033389dcb100bfdd4a1833351,True,completed,pass,pass,1.1598707803872621e-05,-0.00021993069488111244,0.00034330967992399485,paired_bootstrap_lower_bound,-0.00021993069488111244,True,computed_bootstrap,0.01,5000,False,
yolo11l,b062,hailo10,full,detection,,,orin_nx_hailo10_01,,False,completed,fail,fail,-0.01395260969412021,,,point_estimate_below_non_inferiority_margin,-0.01395260969412021,False,not_computed_fast_fail,0.01,0,False,
yolo11l,b062,hailo10h_to_trt,composed,detection,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.011125396790517605,,,point_estimate_below_non_inferiority_margin,-0.011125396790517605,False,not_computed_fast_fail,0.01,0,False,
yolo11l,b064,hailo10h_to_trt,composed,detection,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.011262629636895338,,,point_estimate_below_non_inferiority_margin,-0.011262629636895338,False,not_computed_fast_fail,0.01,0,False,
yolo11l,b065,hailo10h_to_trt,composed,detection,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.010542293242593759,,,point_estimate_below_non_inferiority_margin,-0.010542293242593759,False,not_computed_fast_fail,0.01,0,False,
yolo11l,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,53f26ef28d34bfd9b144e8cc3bb602dd4b4c5b301b5131a579c464d63c66d0ea,True,completed,pass,pass,-0.00017176663350904064,-0.00044484018736365704,0.0002237063487369878,paired_bootstrap_lower_bound,-0.00044484018736365704,True,computed_bootstrap,0.01,5000,False,
yolo11l,b062,hailo8,full,detection,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.025180031889265653,,,point_estimate_below_non_inferiority_margin,-0.025180031889265653,False,not_computed_fast_fail,0.01,0,False,
yolo11l,b062,hailo8_to_trt,composed,detection,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,inconclusive,inconclusive,-0.007939468000941696,-0.009852320960053165,-0.006268057589207135,paired_bootstrap_lower_bound,-0.009852320960053165,True,computed_bootstrap,0.01,5000,False,
yolo11l,b065,hailo8_to_trt,composed,detection,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,inconclusive,inconclusive,-0.008037497519958081,-0.0097058717921575,-0.006173216449024193,paired_bootstrap_lower_bound,-0.0097058717921575,True,computed_bootstrap,0.01,5000,False,
yolo11l,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,830f7502fdd6b6382f031de6e44033acdd0e9b7d1339bd870cf15f79d4f40403,True,completed,pass,pass,-0.00017176663350904064,-0.00044484018736365704,0.0002237063487369878,paired_bootstrap_lower_bound,-0.00044484018736365704,True,computed_bootstrap,0.01,5000,False,
yolo26m,b038,deepx_to_trt,composed,detection,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,-0.0011137357950993798,-0.002345271996731915,9.870726917743952e-05,paired_bootstrap_lower_bound,-0.002345271996731915,True,computed_bootstrap,0.01,5000,False,
yolo26m,b038,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,eb4efd1729ed580e553b573fdb85bc85b6620e2c3f14298ab5b71fb0edcedd48,True,completed,pass,pass,-0.0007913014004791163,-0.0011529523970393862,-0.0002591955370757959,paired_bootstrap_lower_bound,-0.0011529523970393862,True,computed_bootstrap,0.01,5000,False,
yolo26m,b038,ort_tensorrt,full,detection,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,-0.0004227269744029871,-0.0008641765243189159,0.00011548804759856649,paired_bootstrap_lower_bound,-0.0008641765243189159,True,computed_bootstrap,0.01,5000,False,
yolo26m,b398,deepx_to_trt,composed,detection,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,-0.004449938099697626,-0.0058783715277491875,-0.002613297722682758,paired_bootstrap_lower_bound,-0.0058783715277491875,True,computed_bootstrap,0.01,5000,False,
yolo26m,b398,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,7ec8cf730cc59d08185ce20b5062099a25353f0a4ad0213c4e54f58b8fcd1154,True,completed,pass,pass,-0.0003517858440398314,-0.0007597444538605917,0.00028460063194954703,paired_bootstrap_lower_bound,-0.0007597444538605917,True,computed_bootstrap,0.01,5000,False,
yolo26m,b399,deepx_to_trt,composed,detection,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,pass,pass,-0.004449938099697626,-0.0058783715277491875,-0.002613297722682758,paired_bootstrap_lower_bound,-0.0058783715277491875,True,computed_bootstrap,0.01,5000,False,
yolo26m,b399,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,a994d368d554bb28897d51ced06733cbb2aae0798955ff5415b32ee53eb51cf8,True,completed,pass,pass,-0.000540138406904922,-0.0009416309293177103,-6.49071112275106e-05,paired_bootstrap_lower_bound,-0.0009416309293177103,True,computed_bootstrap,0.01,5000,False,
yolo26m,full,deepx_m1_full,full,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,CancelledError: 
yolo26m,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,4289a2beb182599f8f98a4fc9320aea133ae8541ac369ff43c2ce2f1ff9da864,False,failed,unavailable,unavailable,,,,,,,,,,,CancelledError: 
yolo26m,b038,hailo10,full,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,CancelledError: 
yolo26m,b038,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,CancelledError: 
yolo26m,b038,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26m,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,3cb3acb449f2d1aa894bdc3a5d681dcd7b4fca99eb328889c231d00dbc0f7e19,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26m,b038,hailo8,full,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26m,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,61c37fc68e9bcca43b25fb3b34fb033391a43a72320e8224212a201930a43544,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b021,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b021,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,fa69c621793d3392554a5e7b7973c986c9cfa6e9df3bb943feada59c810b2de6,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b021,ort_tensorrt,full,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b364,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b365,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b364,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,769ebf66f6927872d55ab91ee22e980625fbeb416572ef2622f1068920302faa,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,b1f94d3c40881abb25d9a83cf86618197fc203c53a4466ad35e655f8d871fdc2,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b365,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,25e2a5483cf67b3fd1cdb3218de2319c50d0590ba02c313b6dd84a4865cfe3f0,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b021,hailo10,full,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b021,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b021,hailo8,full,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,437e9a5b3efe9ec1582ff773bdbcffb87a332c0b768deee201421225c7b659e0,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b023,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b023,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,4d336e2b5c29e50d82f414d62856b1cd7497e42b69946cc51a727e6714fcfd43,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b023,ort_tensorrt,full,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,b021,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b052,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b052,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,5e0e5cb9fa4c5e1b850df89ec6bd4612e11588d95e091004fd9b388094e0ddd3,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b132,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolo26s,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,244c9e5fbf0dc360117fe2c968d077d360408a59b27d384d3378469dca2066eb,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b132,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,265c7aeb86cdfe1f802d72a5a850a89bef754fd479089e87fc391b2c24cb7075,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_deepx_m1_01,217bb40e3f9e7836cdb8aeb8b152dc10439679363dc6a76dcd72dde3e68c5955,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b023,hailo10,full,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,full,deepx_m1_full,full,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b023,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b052,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b132,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo10_01,36372e9746e65a355cec003daf78e9aa545faf8011e2c3a1637b811ebdf1dd9f,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b023,hailo8,full,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b023,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b052,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,b132,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
regnet_x_1_6gf,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo8_01,c8656a299267d974b209ec7cabc7373e7b544687f5e5bd7d5d6ed5128764dcc6,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b009,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b009,ort_tensorrt,full,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b011,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b009,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,21e2a961b004116844d7420cd0450a14a82b0d93c46ff52c42789fd3e7cecbd5,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
